feedback_text,service_category,sentiment
"This week, I am satisfied overall because router restarts automatically. customer support should improve further.",Broadband Service,Positive
"Honestly, I am somewhat satisfied because monthly invoice amount looks incorrect. hoping this gets fixed permanently.",Billing & Payments,Positive
"Since yesterday, I feel totally upset because installation process completed quickly. the issue affects my daily work badly.",Broadband Service,Negative
"Today, I am extremely happy because identity verification process is slow. overall service quality looks better now.",Service Activation,Positive
"After recent update, I feel disappointed because application freezes frequently. the service experience feels smooth now.",Mobile App Issues,Negative
"Today, I am somewhat satisfied because fingerprint login works perfectly. the issue affects my daily work badly.",Mobile App Issues,Positive
"During office hours, I feel totally upset because 5G signal disappears suddenly. expecting faster resolution from technical team.",Mobile Network,Negative
"Seriously, I am very frustrated because SIM replacement completed successfully. customer support should improve further.",Service Activation,Negative
"Unfortunately, I appreciate the quick resolution because invoice details are confusing. please resolve this quickly.",Billing & Payments,Positive
"Every evening, I appreciate the quick resolution because issue remained unresolved after many complaints. the service experience feels smooth now.",Customer Support,Positive
"After recent update, I expected better performance because mobile internet becomes extremely slow. the service experience feels smooth now.",Mobile Network,Neutral
"During office hours, I am unhappy with the service because payment transaction failed inside app. customer support should improve further.",Mobile App Issues,Positive
"Since yesterday, I feel disappointed because roaming service activated instantly. customer support should improve further.",Mobile Network,Negative
"Every evening, I am somewhat satisfied because SIM replacement completed successfully. thank you for solving the issue.",Service Activation,Positive
"Every evening, I feel totally upset because billing system generated duplicate charges. this issue still continues every day.",Billing & Payments,Negative
"This week, I am somewhat satisfied because network coverage is weak indoors. overall service quality looks better now.",Mobile Network,Positive
"Today, I feel totally upset because online meetings keep buffering. this problem needs immediate attention.",Broadband Service,Negative
"This week, I appreciate the quick resolution because network coverage is weak indoors. this issue still continues every day.",Mobile Network,Positive
"Seriously, I appreciate the quick resolution because refund still not processed. please resolve this quickly.",Billing & Payments,Positive
"During office hours, I feel totally upset because roaming activation took too much time. this issue still continues every day.",Service Activation,Negative
"Recently, I am satisfied overall because activation request still under processing. this problem needs immediate attention.",Service Activation,Positive
"Recently, I expected better performance because app performance improved after update. overall service quality looks better now.",Mobile App Issues,Neutral
"After recent update, I am unhappy with the service because mobile application crashes during payment. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Seriously, I am satisfied overall because email support response was delayed. please resolve this quickly.",Customer Support,Positive
"Seriously, I am extremely happy because network quality improved after update. the service experience feels smooth now.",Mobile Network,Positive
"Unfortunately, I expected better performance because activation request still under processing. the service experience feels smooth now.",Service Activation,Neutral
"Unfortunately, I appreciate the quick resolution because data connection stops randomly. the issue affects my daily work badly.",Mobile Network,Positive
"During office hours, I am somewhat satisfied because roaming activation took too much time. this problem needs immediate attention.",Service Activation,Positive
"Every evening, I am unhappy with the service because priority support handled issue efficiently. please resolve this quickly.",Customer Support,Positive
"During office hours, I am somewhat satisfied because mobile application crashes during payment. expecting faster resolution from technical team.",Mobile App Issues,Positive
"This week, I am satisfied overall because roaming activation took too much time. the issue affects my daily work badly.",Service Activation,Positive
"After recent update, I am somewhat satisfied because voice calls are dropping continuously. this problem needs immediate attention.",Mobile Network,Positive
"Honestly, I am extremely happy because SIM activation delayed for several hours. the service experience feels smooth now.",Service Activation,Positive
"Unfortunately, I am extremely happy because online meetings keep buffering. the issue affects my daily work badly.",Broadband Service,Positive
"Every evening, I am highly impressed because auto payment feature works smoothly. the issue affects my daily work badly.",Billing & Payments,Positive
"This week, I feel totally upset because app performance improved after update. this problem needs immediate attention.",Mobile App Issues,Negative
"Every evening, I appreciate the quick resolution because application freezes frequently. please resolve this quickly.",Mobile App Issues,Positive
"Recently, I am extremely happy because mobile internet becomes extremely slow. the service experience feels smooth now.",Mobile Network,Positive
"Today, I am highly impressed because invoice details are confusing. hoping this gets fixed permanently.",Billing & Payments,Positive
"Honestly, I am satisfied overall because signal strength fluctuates frequently. hoping this gets fixed permanently.",Mobile Network,Positive
"Unfortunately, I am very frustrated because SIM activation delayed for several hours. this problem needs immediate attention.",Service Activation,Negative
"Honestly, I am extremely happy because wifi signal does not reach upstairs. this problem needs immediate attention.",Broadband Service,Positive
"Recently, I am somewhat satisfied because eSIM activation failed repeatedly. overall service quality looks better now.",Service Activation,Positive
"Unfortunately, I expected better performance because plan upgrade reflected successfully. the service experience feels smooth now.",Service Activation,Neutral
"Seriously, I expected better performance because invoice details are confusing. thank you for solving the issue.",Billing & Payments,Neutral
"During office hours, I am unhappy with the service because wifi coverage improved after technician visit. this problem needs immediate attention.",Broadband Service,Positive
"Unfortunately, I am very frustrated because internet stopped working suddenly. the service experience feels smooth now.",Broadband Service,Negative
"Today, I am extremely happy because mobile application crashes during payment. overall service quality looks better now.",Mobile App Issues,Positive
"Every evening, I am very frustrated because plan upgrade reflected successfully. hoping this gets fixed permanently.",Service Activation,Negative
"Seriously, I am extremely happy because signal strength fluctuates frequently. hoping this gets fixed permanently.",Mobile Network,Positive
"Honestly, I am satisfied overall because roaming service activated instantly. customer support should improve further.",Mobile Network,Positive
